sku,name,category,price_cad,stock,restocked_on,discontinued
SKU-1000,oak tray,Office,263.01,179,2025-08-16,true
SKU-1001,steel chair,Kitchen,293.32,20,2025-05-11,true
SKU-1002,linen shelf,Outdoor,308.60,86,2025-01-12,true
SKU-1003,ceramic chair,LIGHTING,-1,202,7/22/2025,true
SKU-1004,oak bowl,Office,102.66,219,2025-05-16,false
SKU-1005,linen shelf,Lighting,66.08,62,2025-03-10,false
SKU-1006,steel lamp,Office,194.17,126,2025-06-18,true
SKU-1007,walnut tray,Outdoor,248.41,219,2025-05-13,false
SKU-1008,steel lamp,Lighting,307.53,62,2025-06-13,false
SKU-1009,linen shelf,Lighting,61.12,41,2025-07-14,false
SKU-1010,linen shelf,Kitchen,18.69,165,2025-03-17,false
SKU-1011,ceramic bowl,Outdoor,192.78,86,2025-06-17,true
SKU-1012,linen bowl,Lighting,18.13,0,2025-04-11,true
SKU-1013,linen chair,Lighting,250.19,40,2025-05-16,true
SKU-1014,oak shelf,Lighting,203.63,170,2025-02-13,false
SKU-1015,linen tray,Office,267.95,143,2025-02-18,false
SKU-1016,ceramic shelf,Kitchen,139.49,83,2025-04-11,false
SKU-1017,oak chair,Kitchen,176.70,24,2025-02-17,true
SKU-1018,ceramic lamp,Office,241.38,151,2025-06-17,false
SKU-1019,walnut tray,Outdoor,64.21,57,2025-03-12,true
SKU-1020,steel chair,OFFICE,$36.58,unknown,9/27/2025,1
SKU-1021,ceramic lamp,Outdoor,150.90,48,2025-03-13,false
SKU-1022,steel chair,Lighting,22.43,79,2025-08-14,true
SKU-1023,linen tray,Kitchen,166.96,206,2025-01-17,false
SKU-1024,steel bowl,Outdoor,287.24,140,2025-05-10,true
SKU-1025,linen shelf,Outdoor,40.23,103,2025-08-10,true
SKU-1026,ceramic bowl,Kitchen,131.75,83,2025-01-16,false
SKU-1027,steel chair,Office,19.85,37,2025-05-18,false
SKU-1028,steel bowl,Outdoor,303.73,131,2025-03-14,false
SKU-1029,ceramic lamp,Kitchen,200.39,77,2025-02-17,false
SKU-1030,steel bowl,Lighting,239.42,217,2025-02-11,true
SKU-1031,linen bowl,OFFICE,$216.09,unknown,3/19/2025,Y
SKU-1032,walnut bowl,Lighting,166.49,108,2025-03-17,true
SKU-1033,ceramic chair,Office,285.25,89,2025-08-10,true
SKU-1034,steel shelf,Lighting,151.79,124,2025-07-18,false
SKU-1035,steel tray,Outdoor,111.10,3,2025-05-14,false
SKU-1036,ceramic tray,Kitchen,18.32,173,2025-08-16,false
SKU-1037,oak tray,Outdoor,89.68,63,2025-04-17,false
SKU-1038,steel bowl,KITCHEN,$219.64,unknown,12/22/2025,TRUE
SKU-1039,ceramic shelf,Outdoor,289.19,136,2025-02-10,false
SKU-1040,oak tray,Office,159.57,122,2025-04-10,false
SKU-1041,ceramic tray,Kitchen,234.06,95,2025-08-10,false
SKU-1042,ceramic shelf,Office,206.14,158,2025-03-10,false
SKU-1043,steel chair,Lighting,88.86,121,2025-04-12,true
SKU-1044,walnut bowl,Office,57.85,42,2025-03-13,true
SKU-1045,ceramic lamp,Office,93.20,40,2025-03-17,false
SKU-1046,oak lamp,Office,219.71,165,2025-04-15,true
SKU-1047,ceramic tray,Lighting,196.17,81,2025-03-18,false
SKU-1048,oak chair,Lighting,238.70,163,2025-06-14,true
SKU-1049,walnut shelf,Lighting,219.84,142,2025-05-18,true
